treatment_id,management_id,Created at,Updated at
1,1541,"",""
1,1542,"",""
1,1543,"",""
1,1544,"",""
1,1545,"",""
1,1546,"",""
1,1547,"",""
2,1082,"",""
2,1095,"",""
2,1096,"",""
2,1097,"",""
2,1186,"",""
2,1187,"",""
2,1200,"",""
2,1202,"",""
3,1082,"",""
3,1083,"",""
3,1084,"",""
3,1095,"",""
3,1096,"",""
3,1097,"",""
3,1186,"",""
3,1187,"",""
3,1188,"",""
3,1189,"",""
3,1190,"",""
3,1200,"",""
3,1202,"",""
4,1082,"",""
4,1086,"",""
4,1087,"",""
4,1088,"",""
4,1095,"",""
4,1096,"",""
4,1097,"",""
4,1186,"",""
4,1187,"",""
4,1191,"",""
4,1192,"",""
4,1193,"",""
4,1200,"",""
2575,7705,2015-11-02 11:00:06 -0600,2015-11-02 11:00:06 -0600
4,1202,"",""
5,1082,"",""
5,1089,"",""
5,1090,"",""
5,1095,"",""
5,1096,"",""
5,1097,"",""
5,1186,"",""
5,1187,"",""
5,1194,"",""
5,1195,"",""
5,1196,"",""
5,1200,"",""
1136,7706,2015-11-02 11:03:48 -0600,2015-11-02 11:03:48 -0600
5,1202,"",""
6,1082,"",""
6,1092,"",""
6,1094,"",""
6,1095,"",""
6,1096,"",""
6,1097,"",""
6,1186,"",""
6,1187,"",""
6,1197,"",""
6,1198,"",""
6,1199,"",""
6,1200,"",""
2576,7707,2015-11-02 11:05:03 -0600,2015-11-02 11:05:03 -0600
6,1202,"",""
7,1017,"",""
7,1018,"",""
7,1019,"",""
7,1020,"",""
7,1021,"",""
7,1022,"",""
7,1023,"",""
7,1024,"",""
7,1025,"",""
8,1017,"",""
8,1018,"",""
8,1019,"",""
8,1020,"",""
8,1021,"",""
8,1022,"",""
8,1026,"",""
8,1027,"",""
8,1028,"",""
9,1029,"",""
9,1030,"",""
9,1031,"",""
9,1032,"",""
9,1033,"",""
9,1034,"",""
9,1035,"",""
9,1036,"",""
9,1037,"",""
9,1038,"",""
9,1039,"",""
9,1040,"",""
10,1029,"",""
10,1030,"",""
10,1031,"",""
10,1032,"",""
10,1033,"",""
10,1034,"",""
10,1035,"",""
10,1036,"",""
10,1037,"",""
10,1041,"",""
10,1042,"",""
10,1043,"",""
11,981,"",""
11,982,"",""
11,983,"",""
11,984,"",""
12,981,"",""
12,982,"",""
12,983,"",""
12,984,"",""
13,981,"",""
13,982,"",""
